email_id,sender,receiver,subject,body,date
1,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1985-08-30
2,manager@company.com,finance@company.com,Expense Approval,Approved meal claim.,2011-03-07
3,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1998-05-28
4,manager@company.com,finance@company.com,Expense Approval,Approved meal claim.,2016-03-09
5,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,1984-08-04
6,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1971-01-28
7,manager@company.com,finance@company.com,Expense Approval,Approved meal claim.,2007-07-01
8,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1982-09-10
9,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1972-10-17
10,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,1980-03-15
11,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,2005-04-16
12,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,1977-03-24
13,manager@company.com,finance@company.com,Expense Approval,Approved meal claim.,2013-04-26
14,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,1977-04-03
15,manager@company.com,finance@company.com,Expense Approval,Approved meal claim.,1989-01-22
16,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1990-08-21
17,manager@company.com,finance@company.com,Expense Approval,Approved meal claim.,2013-01-14
18,manager@company.com,finance@company.com,Expense Approval,Approved meal claim.,2020-08-07
19,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,1989-12-13
20,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1980-09-22
21,manager@company.com,finance@company.com,Expense Approval,Approved meal claim.,1998-09-25
22,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,2003-08-27
23,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1976-02-16
24,manager@company.com,finance@company.com,Expense Approval,Need receipt.,2019-08-22
25,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,2004-06-03
26,manager@company.com,finance@company.com,Expense Approval,Need receipt.,2018-03-24
27,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1972-11-26
28,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1982-02-13
29,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,2004-08-17
30,manager@company.com,finance@company.com,Expense Approval,Need receipt.,2002-09-14
31,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,2017-12-06
32,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1987-03-30
33,manager@company.com,finance@company.com,Expense Approval,Need receipt.,1986-05-14
34,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,2019-05-13
35,manager@company.com,finance@company.com,Expense Approval,Need receipt.,2011-01-20
36,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,2014-01-09
37,manager@company.com,finance@company.com,Expense Approval,Approved hotel reimbursement.,1980-07-16
